Toren,Toren | Tor | Miss Swordswoman | Miss Warrior | Nekhti |,Male |,,Undead |,Active |,Az'kerash | The Wandering Inn |,Izril |,The Wandering Inn | Bloodfields |,Vassal | Guard |,Warrior |,https://wiki.wanderinginn.com/images/c/c4/Toren_in_full_outfit_by_DemonicCriminal.jpg,1,2942,1
Az’kerash,Perril Chandler | Perril | Az'kerash | The Necromancer | Necromancer of Terandria | Archmage Chandler | Archmage of Death | Gravewarden of Therras | Undying Shield of Calanfer | Great Master of the Dead | Anonymous Spellcaster A | Azzy |,Male |,200 |,Human |,Active |,Chosen |,Izril |,Bloodfields |,Mage |,Mage |,https://wiki.wanderinginn.com/images/8/81/Az%27kerash_by_Chalyon.jpg,1,2551,1
Rags,Rags | Chieftain | Lilbrasi |,Female |,4 |,Goblin |,Alive |,Flooded Waters Tribe | The Wandering Inn |,Izril |,Goblinhome | The Wandering Inn |,Chieftain |,Mage | Leader |,https://wiki.wanderinginn.com/images/thumb/d/d5/Rags_official_by_ArtsyNada.webp/1878px-Rags_official_by_ArtsyNada.webp.png,1,8091,1
Pawn,Pawn |,Male |,3 |,Antinium |,Alive |,Free Antinium |,Izril |,Liscor |,Priest |,Priest |,https://wiki.wanderinginn.com/images/6/66/Pawn_by_Jason_Yao.png,1,4693,1
Klbkch,Klbkchhezeim | Klb | Klbkch | Klbkch the Slayer | Klbkch of the Centenium | Senior Guardsman Klbkch | Klbkchhezeim of the Free Antinium | Old Man Klb |,Male |,6000 |,Antinium |,Alive |,Free Antinium | Liscor's City Watch | Centenium,Izril | Rhir |,Liscor | Demon Kingdom |,Guard | Centenium | Prognugator |,Warrior |,https://wiki.wanderinginn.com/images/0/0f/Klbkch_by_Enuryn_cut.jpg,1,6550,1
Bird,Bird | Little Bird | Bird the Hunter | Bird the Liar | Sky Hunter | Bird of the True Antinium of Izril | Second Queen of the Free Antinium |,Female |,2 |,Antinium |,Alive |,Free Antinium | The Wandering Inn | Fellowship of the Inn |,Izril |,The Wandering Inn |,Guard | Monarch |,Archer |,https://wiki.wanderinginn.com/images/c/ca/Bird_the_Hunter_by_Bobo_Plushie.PNG,1,5305,1
Ksmvr,"Ksmvr | Ksm | Ksmvr of Chandrar | Ksmvr of the Horns of Hammerad | Ksmvr of the Free Antinium | Ksmvr of Liscor | Ksmvr of Two Trees | Ksmvr, the Dancing Antinium |",Male |,3 |,Antinium |,Alive |,Horns of Hammerad |,Izril | Chandrar |,The Wandering Inn | Illivere |,Adventurer | Prognugator |,Warrior |,https://wiki.wanderinginn.com/images/c/c1/Ksmvr_Crossbow_by_Auspiciousoctopi.jpg,1,6297,1
Ceria,Ceria Springwalker | Ice Squirrel | Ice Weasel | Captain Ceria | Professor Springwalker |,Female |,65 |,Half-Elf |,Alive |,Horns of Hammerad |,Izril | Terandria | Wistram | Chandrar |,Erribathe | The Wandering Inn | Wistram |,Adventurer | Mage |,Mage |,https://wiki.wanderinginn.com/images/1/1e/Ceria_Springwalker_by_Dr.replig8r.PNG,1,14186,1
Pisces,Pisces Jealnet | Necro Boy | Necro-Lad | Comrade Pisces | Pisces the Nose | Bane of Roshal |,Male |,23 |,Human |,Alive |,Horns of Hammerad |,Izril | Terandria | Wistram | Chandrar |,The Wandering Inn | Wistram | Ailendamus |,Adventurer | Mage |,Mage |,https://wiki.wanderinginn.com/images/1/16/Pisces_by_JY.PNG,1,13592,1
Yvlon,Yvlon Byres | Yv | Yvlon the Silver Arm | Slaughterer of Silver | Yvlon Silverarm | One-Armed Slaughterer | Silver-Killer | Silverarm | The Silver Killer of Izril |,Female |,,Human |,Alive |,Horns of Hammerad | House Byres,Izril | Chandrar |,The Wandering Inn | Byers' Lands | Nerrhavia's Fallen |,Adventurer |,Warrior |,https://wiki.wanderinginn.com/images/2/26/Yvlon_by_pkay.png,1,9248,1
Calruz,Calruz | Calruz of the Beriad | Mr. Grumpy | bull-guy | cow-guy | One arm | Horn Chieftain |,Male |,,Minotaur |,Alive |,Horns of Hammerad | Liscor's Dungeon |,Izril |,Liscor | North Izril |,Adventurer | Soldier |,Warrior |,https://wiki.wanderinginn.com/images/4/42/Calruz_by_DemonicCriminal.jpg,1,1968,1
Magnolia,Magnolia Reinhart | Lady Magnolia | The Deadly Flower Blooming In The North | Flower Lady | Mags |,Female |,47 |,Human |,Alive |,House Reinhart | Magnolia Reinhart |,Izril |,Invrisil | Celum |,Noble |,Non-combat |,https://wiki.wanderinginn.com/images/c/ca/Magnolia_by_LeChatDemon.jpg,1,7433,1
Olesm,Olesm Swifttail | Commander Olesm | Strategos Olesm |,Male |,22 |,Drake |,Alive |,Liscor |,Izril |,Liscor |,Strategist |,Leader |,https://wiki.wanderinginn.com/images/d/df/Olesm_transformation_by_Butts.png,1,4692,1
Lism,Lism Swifttail |,Male |,43 |,Drake |,Alive |,Liscor |,Izril |,Liscor |,Mayor | Merchant |,Non-combat |,https://wiki.wanderinginn.com/images/b/b9/Lism_Councilmember_by_DemonicCriminal.png,1,1764,1
Zevara,Zevara Sunderscale | Captain Z |,Female |,28 |,Drake |,Alive |,Liscor | Liscor's City Watch |,Izril |,Liscor |,Guard |,Leader | Warrior |,https://wiki.wanderinginn.com/images/1/1e/Zevara_portrait_by_Demonic_Criminal.png,1,3128,1
Selys,Selys Shivertail |,Female |,21 |,Drake |,Alive |,Liscor's Adventurer Guild | Liscor,Izril |,Liscor |,Secretary |,Non-combat |,https://wiki.wanderinginn.com/images/0/0b/Selys_by_flauschesoeckchen.PNG_%282%29.png,1,4809,1
Relc,Relc Grasstongue | The Gecko of Liscor |,Male |,40 |,Drake |,Alive |,Liscorian Army | Liscor's City Watch |,Izril |,Liscor | The Wandering Inn | Cellidel |,Guard |,Warrior |,https://wiki.wanderinginn.com/images/3/33/Relc.png,1,6554,1
Teriarch,Teriarch | Terrium Archelis Dorishe | Teriarch | Teriarch soth Verines | Teriarch of Kerozel | The Lord of Flame | Dragonlord of Flame | High Eminence Teriarch | Starfire Dragon of Iltanus | Ward-Regent of Voltail | Lord of Pyres | Champion of Ashen Wings | Doom of Amerital Goolm | Grand Magus Eldavin | Demsleth | Teri | Hot Thing | Old Smoker | Old Fool | Mr. Dragonlord of Burning Things |,Male |,58000 |,Dragon |,Alive |,Magnolia Reinhart | Immortals,Izril |,High Passes |,Noble |,Mage |,https://wiki.wanderinginn.com/images/8/87/Teriarch_webcomic.jpg,1,2911,1
Gazi,Gazi Pathseeker | Gazi the Omniscient | Gazi of Reim | Dunestalker | Adventurer Pathseeker |,Female |,,Half-Gazer |,Alive |,Reim | Seven |,Chandrar |,Reim |,Adventurer | Vassal |,Rogue |,https://wiki.wanderinginn.com/images/8/8b/Gaziattackcolor-by-pkay.png,1,2369,1
